timestamp,bytes
158,1049328
33423,1348704
159,1348704
33424,815760
160,310752
33425,0
161,0
33426,415800
162,860328
33427,1186962
163,1186962
33428,782496
164,337968
33429,0
165,0
33430,444528
166,1003968
33431,1496880
167,1496880
33432,1063728
168,504288
33433,0
169,0
33434,376488
170,951048
33435,1537704
171,1537704
33436,1171080
172,596520
33437,0
173,0
33438,219240
174,647136
33439,1146096
175,1146096
33440,939942
176,512046
33441,0
177,0
33442,160272
178,612360
33443,1212624
179,1214136
33444,1065240
180,611640
33445,0
181,0
33446,86184
182,505008
33447,1118880
183,1118880
33448,1045188
184,626760
33449,396
185,0
33450,33264
186,622944
33451,1578528
187,1578528
33452,1549800
188,965448
33453,5328
189,0
33454,0
190,429408
33455,1214136
191,1253448
33456,1254960
192,836928
33457,50688
193,0
33458,0
194,775656
33459,2464560
195,2697408
33460,2697408
196,1965600
33461,371952
197,172368
33462,213234
198,178458
33463,84672
199,87696
33464,139104
200,149688
33465,151200
201,116424
33466,21168
202,0
33467,0
203,18186
33468,60522
204,68040
33469,66528
205,80136
33470,134568
206,151200
33471,149688
207,125496
33472,31752
208,0
33473,0
209,13608
33474,55944
210,68040
33475,66528
211,75600
33476,128520
212,149688
33477,151200
213,136080
33478,40824
214,0
33479,0
215,9072
33480,51408
216,68040
33481,68040
217,69552
33482,120960
218,151200
33483,151200
219,145152
33484,51408
220,0
33485,0
221,4536
33486,46872
222,68040
33487,68040
223,66528
33488,116424
224,148176
33489,149688
225,151200
33490,61992
226,4536
33491,0
227,0
33492,42336
228,68040
33493,68040
229,66528
33494,110376
230,142128
33495,151200
231,151200
33496,71064
232,15120
33497,0
233,0
33498,37800
234,63504
33499,68040
235,66528
33500,105840
236,137592
33501,149688
237,151200
33502,81648
238,24192
33503,0
239,0
33504,33264
240,58968
33505,68040
241,66528
33506,102816
242,134568
33507,149688
243,151200
33508,89208
244,31752
33509,42
245,42
33510,1115856
246,2124360
33511,2697408
247,2695896
33512,1645056
248,694008
33513,181440
249,205632
33514,157248
250,102816
33515,96768
251,127008
33516,149688
252,151200
33517,99792
253,42336
33518,0
254,0
33519,25704
255,49896
33520,66528
256,68040
33521,90720
257,120960
33522,151200
258,151200
33523,108864
259,52920
33524,0
260,0
33525,21168
261,45360
33526,66528
262,68040
33527,84672
263,116424
33528,151200
264,149688
33529,119448
265,63504
33530,0
266,0
33531,16632
267,40824
33532,66598
268,68110
33533,80136
269,110376
33534,149688
270,151200
33535,130032
271,72576
33536,0
272,0
33537,387072
273,1395576
33538,2697408
274,2695896
33539,2333016
275,1381968
33540,161784
276,189000
33541,199584
277,142128
33542,74088
278,104328
33543,151200
279,151200
33544,139104
280,83160
33545,0
281,0
33546,39312
282,220752
33547,485352
283,485352
33548,486864
284,485352
33549,485352
285,485352
33550,485352
286,485352
33551,458136
287,334194
33552,151242
288,151200
33553,142128
289,86184
33554,0
290,0
33555,0
291,0
33556,0
292,0
33557,0
293,0
33558,37800
294,264600
33559,606312
295,606312
33560,607824
296,607824
33561,606312
297,606312
33562,607824
298,606312
33563,579096
299,409752
33564,151200
300,151200
33565,145152
301,89208
33566,0
302,0
33567,0
303,0
33568,0
304,0
33569,0
305,0
33570,33264
306,325080
33571,781704
307,781704
33572,781704
308,781704
33573,781704
309,783216
33574,783216
310,781704
33575,756000
311,521640
33576,151200
312,149688
33577,148176
313,92232
33578,0
314,42
33579,42
315,0
33580,0
316,0
33581,0
317,0
33582,13608
318,225288
33583,565488
319,565488
33584,567000
320,567000
33585,565488
321,565488
33586,567000
322,567000
33587,557928
323,402192
33588,151200
324,151200
33589,149688
325,95256
33590,1512
326,0
33591,0
327,0
33592,0
328,0
33593,0
329,0
33594,0
330,241920
33595,647136
331,647136
33596,647136
332,647136
33597,647136
333,647136
33598,647136
334,647136
33599,647136
335,462672
33600,152712
336,151200
33601,149688
337,98280
33602,4536
338,0
33603,0
339,0
33604,0
340,0
33605,0
341,42
33606,42
342,154224
33607,424872
343,430920
33608,430920
344,432432
33609,432432
345,430920
33610,430920
346,432432
33611,430920
347,331128
33612,157248
348,151200
33613,149688
349,101304
